ID,class,RTOE_X,RTOE_Y,RTOE_Z,V_RTOE_X,V_RTOE_Y,V_RTOE_Z,RHLX_X,RHLX_Y,RHLX_Z,V_RHLX_X,V_RHLX_Y,V_RHLX_Z,RHEE_X,RHEE_Y,RHEE_Z,V_RHEE_X,V_RHEE_Y,V_RHEE_Z,RPMT5_X,RPMT5_Y,RPMT5_Z,V_RPMT5_X,V_RPMT5_Y,V_RPMT5_Z,FS,FO
36,1,-934.40453709785,-619.059739538156,32.97986912359,53.0982353886372,58.3854242446836,-24.2782858300284,-892.268553484253,-592.980922885718,22.1671045192706,-19.2191562056735,19.2691478601221,-1.3871171533685,-1071.17693101137,-612.916038088371,71.4692151546759,163.826020445094,438.903775795376,407.182464544535,-999.142351984522,-649.554886097018,32.0334511089524,95.9614504381364,186.492770554328,159.909203921595,0,0
37,1,-934.050548861926,-619.120700927808,32.8180138847231,48.4688674166478,58.551279051937,-32.8484576497164,-892.396681192291,-592.841267371753,22.1578570715815,-33.688458204557,34.5714975478269,-7.76377656164922,-1070.08475754174,-613.829310023496,74.1837649183062,189.345190425524,475.256181668933,435.909207378389,-998.502608981601,-649.980941755226,33.0995124684297,103.240665504268,201.319548034011,172.832072853549,0,0
38,1,-933.727423079148,-619.190213203799,32.5990241670583,42.9241406257972,59.0741964630909,-40.5866830290016,-892.621270913654,-592.668325027846,22.1060985611705,-49.2271402230017,51.4598587373368,-14.9935228259269,-1068.82245627224,-614.87176929617,77.0898263008288,220.07322446849,516.033931869045,466.753462453432,-997.814337878239,-650.47772794047,34.2517262874533,111.612507500882,217.70317613096,186.915277778125,0,0
39,1,-933.441262141643,-619.273405243799,32.3284462801983,37.1214575066915,59.6402063108358,-46.6792416538439,-892.949451848474,-592.466874038305,22.006141742331,-65.0825361577574,68.9458471992121,-22.7550726936061,-1067.35530144245,-616.045316370136,80.2015160505183,256.513165767694,561.668900090106,499.672842083962,-997.0702544949,-651.047441524514,35.4978281393075,121.624688043937,236.245168494911,202.532009557511,0,0
40,1,-933.193785758265,-619.376654282941,32.0172513358394,31.9418158549809,59.5374878884955,-50.243734574166,-893.383335422859,-592.244045964553,21.8544412577069,-80.2714437578004,85.9143582899312,-30.6230677334744,-1065.64521367066,-617.349544058922,83.5326683310781,299.10840028349,612.55617111839,534.564521507998,-996.259423241274,-651.691618411711,36.8480415363576,133.950765974868,257.649330434493,220.091730349163,0,0
41,1,-932.980840319232,-619.507448239409,31.6822931053449,28.4831943283166,57.8650689654755,-50.3693741000877,-893.918478381245,-592.009383650493,21.6502874728171,-93.5875107128822,101.035511479028,-38.072988041325,-1063.65115766877,-618.781401183201,87.096431807798,348.223796762011,669.025026925333,571.257099755523,-995.366418134775,-652.410981660611,38.3153197386853,149.381823494969,282.705276364863,240.015299707855,0,0
42,1,-932.790952357043,-619.67417737134,31.346497278011,28.0403396166434,54.0135407707293,-46.1649427680197,-894.542395119331,-591.774796545257,21.3964675525416,-103.621715441096,112.770522562846,-44.4941664506914,-1061.32966569036,-620.334899926538,90.9048124728349,404.127804033476,731.30899035627,609.502713187552,-994.370539311475,-653.205282850135,39.9154217367377,168.809628149074,312.266268833612,262.704267371958,0,0
43,1,-932.604016759599,-619.885859119322,31.0387309928909,32.0704987562351,48.8227373429896,-36.8122641410288,-895.233206555605,-591.554397020192,21.0998397762037,-108.796302745441,119.40849555144,-49.2113129146199,-1058.63548033014,-622.000887454867,94.9681638940852,466.976337402787,799.517846537179,648.969866201295,-993.245141790481,-654.073144702542,41.6667835192174,193.201112091805,347.22068767729,288.505695329538,0,0
44,1,-932.390213434557,-620.151803641816,30.7933158986173,42.1455696101816,47.3684994868225,-21.6223427469467,-895.958515240574,-591.364206395839,20.7717643567729,-107.41172276073,119.126011535337,-51.5143517661755,-1055.52230474745,-623.766901682875,99.2946296687605,536.799272268149,873.614277285489,689.237583688987,-991.957134376536,-655.011914046672,43.5901548214143,223.564597310371,388.456131508921,317.674419707234,0,0
45,1,-932.109242970489,-620.48123101665,30.649166946971,59.8921502242433,59.892219018367,-0.0907769834112671,-896.674593392312,-591.221726303827,20.4283353449984,-97.7052549301561,110.074382044451,-50.6956876026047,-1051.94364293233,-625.617129224033,103.889546893354,613.490300927015,953.39715396511,729.791603032847,-990.4667037278,-656.017534712654,45.7079842861292,260.908842012321,436.815897651366,350.335131839155,0,0
46,1,-931.709961968994,-620.882854166921,30.6485617670816,86.9219773708551,91.3362247761253,28.0513066771485,-897.325961758513,-591.145379369768,20.0903640943143,-77.9191344029584,90.5316702110763,-46.0932945785045,-1047.85370759282,-627.532480604548,108.754824246906,696.800798578158,1038.49283527895,770.023386675081,-988.727311447718,-657.084449861897,48.0435518317236,306.196630085793,493.049345092414,386.446995615391,0,0
47,1,-931.130482119855,-621.364444103096,30.8355704782626,124.756168723155,139.668427912442,62.7946504174726,-897.845422654533,-591.15383252864,19.783075463791,-46.3751996078486,59.4124579460136,-37.1373265128097,-1043.20836893563,-629.49079384013,113.888313491407,786.338191511072,1128.35515724485,809.232728856259,-986.686000580479,-658.205542595847,50.6198651358262,360.295215431591,557.759685042076,425.773676963876,0,0
48,1,-930.298774328368,-621.932395920738,31.2542014810458,174.747430839869,203.262186667391,103.82124996201,-898.154590651919,-591.265225941275,19.5354932870389,-1.55241188580817,23.4487820575637,-23.397337398087,-1037.96611432555,-631.467172561634,119.283198350448,881.569132922311,1222.27425087535,846.6346368012,-984.284032477602,-659.372122515901,53.4583563155854,423.926406104545,631.354161188698,467.861602461207,0,0
49,1,-929.133791456102,-622.591315068468,31.9463431474592,238.004881475888,281.590528119927,150.48887640124,-898.164940064491,-591.496339731834,19.3795110377183,57.8368774690318,58.0216445797555,-4.62675311332603,-1032.08898677274,-633.434459123338,124.927429262456,981.827581380708,1319.39387806979,881.370980874771,-981.457856436905,-660.57396430783,56.5774336653268,497.61937282999,714.001890739259,512.028963793576,0,0
50,1,-927.547092246263,-623.343643667992,32.9496023234674,315.32629100526,374.389180746186,201.833071771368,-897.779360881364,-591.861738825578,19.3486660169628,132.776268111695,134.157141172391,19.1989883556435,-1025.54346956353,-635.363836634781,130.803235801621,1086.32765730986,1418.73660337777,912.527134241807,-978.140393951372,-661.799402480998,59.9909600906173,581.669345964792,805.603929101137,557.36743944016,0,0
51,1,-925.444916972894,-624.189346135515,34.2951561352766,407.142331773969,481.250681588403,256.587880085866,-896.894185760619,-592.372942264426,19.4766592726671,223.884562820791,228.941733915755,47.8541540401219,-1018.30128518147,-637.225546757558,136.8867500299,1194.18093807021,1519.23578320563,939.153476340354,-974.262598311606,-663.03548417757,63.7067430202183,676.105194804938,905.778804362083,602.757835278299,0,0
52,1,-922.730634761068,-625.125672056472,36.0057420025157,513.476828449205,601.471983465674,313.225307949209,-895.401622008481,-593.03766683217,19.7956869662679,331.368881108824,341.088910005971,80.8474437551844,-1010.34007892767,-638.989702612352,143.147773205503,1304.41765541044,1619.77303710872,960.291243320456,-969.75523034624,-664.268179537294,67.7251285887403,780.668456826828,1013.86523699917,646.899898988251,0,0
53,1,-919.30745590474,-626.147012242271,38.0939107221771,633.926058419507,734.010378678147,370.012146373528,-893.192496134422,-593.859195103143,20.3346699246358,454.994934671811,469.902500807335,117.422185671968,-1001.64396122493,-640.627168577989,149.549714827639,1416.01109111389,1719.21957230608,975.001809045884,-964.550773967395,-665.482646510949,72.0377945819953,894.805722418249,1128.94224428973,688.355511396175,0,0
54,1,-915.081282181943,-627.244861172671,40.5606583646672,767.658928996462,877.493285408917,425.081444748814,-890.159196569943,-594.835914820926,21.1174844957823,594.0768479035,614.363532808997,156.573462727864,-992.203887284172,-642.110471611519,156.049726887945,1527.90433551,1816.47948342998,982.398114438229,-958.585402484606,-666.663544321369,76.6268313246365,1017.67543085284,1249.86541940893,725.603393096221,0,0
55,1,-909.963555988633,-628.407895602405,43.3945346629927,913.438459880172,1030.26021542589,476.514733771315,-886.198684250587,-595.961069756403,22.1613075806347,747.487775472001,773.032630580764,197.082402721641,-982.017858380772,-643.41470260338,162.599047650866,1639.03848381942,1910.53297358053,981.676673705445,-951.800899612254,-667.795387061865,81.4641872786113,1148.16916763117,1375.31691484875,757.102488947328,0,0
56,1,-903.873966256099,-629.622174973226,46.5712995548014,1069.66354862255,1190.42571565592,522.430164943713,-881.215432414107,-597.22275210379,23.4751902654456,913.691298591999,944.07077541296,237.566495672462,-971.090935155309,-644.518361942266,169.143558808903,1748.38129857719,2000.4773677117,972.148411258423,-944.146438494713,-668.86292632013,86.5115372049268,1284.94656000517,1503.86560129231,781.360406394614,0,1
57,1,-896.742875931948,-630.871464419116,50.0541673210929,1234.42862390622,1355.95533936854,561.071167360297,-875.12415709016,-598.604153543188,25.058966903262,1090.79226380044,1125.30174863113,276.543419204617,-959.435059831461,-645.404101667045,175.624548217292,1854.95536145538,2085.56383476003,953.266550271684,-935.580128094678,-669.851549378974,91.7206065808909,1426.48193971951,1634.03309046881,797.002770635795,0,0
58,1,-888.513351772574,-632.137675619661,53.7946417701615,1405.59761759452,1524.74776621737,590.89008114662,-867.852208664824,-600.084077072351,26.9025896979595,1276.60446445306,1314.29756247177,312.504598458568,-947.068690755092,-646.0593180094,181.979658552437,1957.86477131796,2165.22790749279,924.649895159064,-926.070248496548,-670.747677655997,97.0339583851296,1571.12016523632,1764.36088113454,802.839177709723,0,0
59,1,-879.14270098861,-633.401414655613,57.7339089778056,1580.88780965582,1694.71676734787,610.621531565701,-859.341512235137,-601.637695531756,28.9859536876833,1468.7314590029,1508.47730971636,343.99374305984,-934.016258946305,-646.476553246448,188.14399118683,2056.3195122197,2239.11218108354,886.100120269276,-915.59611406164,-671.539148790644,102.386219569861,1717.13843619153,1893.47386698388,797.921597592501,0,0
60,1,-868.603448924238,-634.642619564902,61.8047191882436,1757.95858450868,1863.86740410374,619.341033060666,-849.549969175117,-603.237526487923,31.2792453080822,1664.65596622475,1705.21156856032,369.685011414204,-920.307462198174,-646.653674717347,194.051325321959,2149.65670903064,2307.07996202459,837.612072796804,-904.148524487029,-672.215565339205,107.705696887144,1862.81062965139,2020.13584984719,781.591587656658,0,0
