ID,class,LTOE_X,LTOE_Y,LTOE_Z,V_LTOE_X,V_LTOE_Y,V_LTOE_Z,LHLX_X,LHLX_Y,LHLX_Z,V_LHLX_X,V_LHLX_Y,V_LHLX_Z,LHEE_X,LHEE_Y,LHEE_Z,V_LHEE_X,V_LHEE_Y,V_LHEE_Z,LPMT5_X,LPMT5_Y,LPMT5_Z,V_LPMT5_X,V_LPMT5_Y,V_LPMT5_Z,FS,FO
60,1,-1558.38234727622,657.247425316044,46.1065624443715,22.0608677693008,28.7071530138149,-18.3689615227429,-1499.69663284528,635.057568948245,22.7294081698483,21.7011097798945,38.8537679390121,-32.2285140423752,-1730.59764353255,651.415876826705,53.0642660813114,21.197374255587,24.125509918224,-11.5200500642533,-1635.44000764505,690.199310569634,23.2077586166342,16.2242346444486,19.7923341269442,-11.3362560130968,0,0
61,1,-1558.23527482442,657.082419111441,45.9841027008866,23.1026008111712,30.0006275579146,-19.1391611526832,-1499.55195878008,634.611764556941,22.5145514095658,25.4494231111835,35.6526167675426,-24.9686993189718,-1730.45632770418,651.104813677713,52.9874657475497,17.4756302881292,26.4584492456625,-19.8658471381897,-1635.33184608075,690.092255228649,23.1321835765468,18.9877540661541,26.6452012246037,-18.6930988287889,0,0
62,1,-1558.08125748568,656.896251111271,45.856508293202,24.0335041554772,31.6036850971381,-20.5227578489765,-1499.38229595934,634.184131489042,22.348093414106,29.6894351229639,34.7527347158211,-18.0634994479906,-1730.33982350226,650.81484291929,52.8550267666285,12.7099245619206,29.0570151949194,-26.1298287339979,-1635.20526105364,689.967250584019,23.0075629176882,20.7288276181089,33.2123063842562,-25.9494316111246,0,0
63,1,-1557.92103412465,656.687549794654,45.7196899075422,24.6866588436319,33.3512706087434,-22.4248996955563,-1499.18436639185,633.778470327626,22.2276700844528,34.1983573909147,36.1390612262367,-11.6834968257349,-1730.25509067185,650.545138038835,52.6808279084018,7.09769658296864,30.0661964401987,-29.2164144206083,-1635.06706886952,689.822549618582,22.8345667069474,21.1787998944828,38.7791494523785,-32.4850868442638,0,0
64,1,-1557.75645639902,656.455698069789,45.5701905762385,24.886442740501,35.0530274013172,-24.685617223826,-1498.95637734258,633.398315579768,22.1497801056145,38.6731460103647,39.1360022976703,-6.00120433781974,-1730.20777269463,650.293145040549,52.4860518122644,0.951228264045767,27.9747711552087,-27.9585941344692,-1634.92587687023,689.656251886061,22.617999461319,20.11734573382,42.6193903995966,-37.5726607875883,0,0
65,1,-1557.59054678075,656.200955874845,45.4056197947463,24.465353997482,36.4929801511511,-27.0773716244801,-1498.69855636918,633.046940439806,22.1097720766957,42.7376518202664,42.7541667823641,-1.18823151948018,-1730.20143117287,650.054475515032,52.2996611847013,-5.29424502565234,21.8146312464055,-21.1624456532086,-1634.791761232,689.466293266041,22.3675150560684,17.3974364450828,43.9820792313418,-40.3949563516454,0,0
66,1,-1557.42744442077,655.924543867051,45.2251039839164,23.2840884282041,37.4299199019508,-29.3061449176452,-1498.41363869037,632.727392422938,22.1018505332325,45.9572127556271,46.0300931419335,2.58922196597791,-1730.2367261397,649.822859840777,52.1585782136799,-11.07739105463,13.4673500289368,-7.65904199131384,-1634.67577832237,689.250440987043,22.0982153470574,12.970479024807,42.1170530388362,-40.07009895849,0,0
67,1,-1557.27221716458,655.628675164048,45.0297296844654,21.2540710455528,37.5999584547647,-31.0164688478657,-1498.107257272,632.442549564141,22.1191120130057,47.8610877626465,48.1402474746432,5.17684315931444,-1730.3105754134,649.590168607774,52.1075179337378,-15.7134741932737,20.8065428406658,13.6381433398313,-1634.5893084622,689.006293995142,21.8310813540008,6.91023588664166,36.3469804188049,-35.6840528185344,0,0
68,1,-1557.13052335761,655.316523994293,44.8229532254797,18.3613499622538,36.7207995651644,-31.8005966652926,-1497.78818335359,632.195182872052,22.1536243007345,47.9726320308941,48.4030664931283,6.44076252990544,-1730.41533190802,649.346508404213,52.1984388893367,-18.4035337271894,47.3919838700174,43.6727613219979,-1634.54324022296,688.731288369319,21.5931876685439,-0.566001638696889,26.3358455242944,-26.3297626579597,0,0
69,1,-1557.00811435786,654.992123176646,44.6109492477111,14.6905046904862,34.4961927905508,-31.2117988744905,-1497.46836580671,631.988008025459,22.1965627176005,45.8465432067442,46.2743942343719,6.2780600307903,-1730.53802213287,649.080395482244,52.4895906314834,-18.2504037933086,85.1634136025101,83.184913162264,-1634.54701356722,688.422707182731,21.4176559174909,-9.08057116639611,14.3810824575174,-11.1516258878215,0,0
