ID,class,RTOE_X,RTOE_Y,RTOE_Z,V_RTOE_X,V_RTOE_Y,V_RTOE_Z,RHLX_X,RHLX_Y,RHLX_Z,V_RHLX_X,V_RHLX_Y,V_RHLX_Z,RHEE_X,RHEE_Y,RHEE_Z,V_RHEE_X,V_RHEE_Y,V_RHEE_Z,RPMT5_X,RPMT5_Y,RPMT5_Z,V_RPMT5_X,V_RPMT5_Y,V_RPMT5_Z,FS,FO
99,1,-1068.16604632759,482.527952997581,116.346261471847,2492.96326283526,2528.10186944823,420.039560590926,-1003.16249416509,501.679234186446,129.6715565399,2456.70425193185,2525.02447019196,583.397629073146,-1226.32708640372,509.419656123756,44.7225637185119,2630.70895064859,2630.8630307245,-28.4728539189803,-1122.37953447837,460.589106378729,58.4750458935623,2634.32247588845,2646.55572994478,254.169873770416,0,0
100,1,-1051.54629124202,482.4624633898,119.14652520912,2316.84062990906,2338.19411170572,315.279557881366,-986.784465818875,502.110361058056,133.560874067055,2288.35387239554,2329.82200622035,437.615282366768,-1208.78902673273,508.694247918033,44.5327446923854,2426.08858949993,2426.21373687251,-24.6425016409194,-1104.81738463912,460.215892925487,60.1695117186984,2425.06833890413,2432.3556725786,188.142684072648,0,0
101,1,-1036.10068704263,482.508070927477,121.248388928329,2141.94752157081,2151.2785161708,200.150116099706,-971.528773336238,502.633380958915,136.478309282833,2122.45340713964,2140.76705740312,279.419270244146,-1192.61510280273,508.088936540065,44.3684613481126,2218.60938363823,2218.73803517502,-23.8929187147857,-1088.65026237976,459.967149667886,61.4237962791828,2214.16708986217,2217.0978832388,113.961054897159,0,0
102,1,-1021.82103689882,482.659496471475,122.582723035661,1970.0093505992,1971.54758934832,77.8656253867794,-957.379083955307,503.238883404865,138.341104417794,1960.26149459749,1963.49758493566,112.683800284586,-1177.82437357847,507.595235843778,44.2091752233474,2011.09210757156,2011.2464771472,-24.9184008397506,-1073.88914844734,459.838800790844,62.1835366451638,2004.14926863677,2004.44345358776,34.3404667047299,0,0
103,1,-1008.68764122816,482.908709546497,123.101827204906,1802.58039981049,1803.21981881429,-48.0168427084877,-944.310673991324,503.915748734314,139.092329753025,1802.83200428339,1803.77375031106,-58.2795559589499,-1164.41709286133,507.201140985514,44.0430525510823,1806.33015504319,1806.52421099922,-26.4782157251652,-1060.5281533231,459.823102140095,62.412473089862,1797.49734964819,1798.13259386465,-47.7922914929021,0,0
104,1,-996.670438562756,483.245483010135,122.781714920183,1641.00305715965,1650.1746745108,-173.739525697275,-932.291793962768,504.65179267744,138.703799379965,1651.00133485447,1666.79125277385,-228.883535083203,-1152.37489182771,506.892137617917,43.8665311129146,1606.99732547655,1607.23223060646,-27.477973204736,-1048.54483765877,459.909168976575,62.0938578132427,1596.57791377505,1601.8158565477,-129.433394196955,0,0
105,1,-985.730418181692,483.6579985807,121.623451415534,1486.37917494697,1515.46855027676,-295.50274983819,-921.285118397072,505.434428088248,137.177909146077,1505.38931474374,1556.20924493792,-394.449268075908,-1141.66157632453,506.652232026606,43.683344624883,1415.55913542264,1415.81734044808,-27.0384103630661,-1037.90098490027,460.083587642727,61.2309685185963,1403.57711999109,1418.85314546462,-207.642762051509,0,0
106,1,-975.821223682045,484.133474046293,119.653433083279,1339.55557242642,1400.78822477354,-409.6321753055,-911.249189632113,506.251304898486,134.548247358904,1366.41304126858,1473.10166488755,-550.403411822312,-1132.22451542171,506.464936745729,43.5030885557959,1234.19277720726,1234.43682738142,-24.5452538166248,-1028.54380410033,460.331082830778,59.8466834382529,1220.44228667725,1252.07895230394,-279.682548065755,0,0
107,1,-966.890853199202,484.658780919872,116.922551914576,1201.12464312696,1305.98927323036,-512.745134999754,-902.139769356989,507.090889238512,130.878891280089,1234.31190181216,1415.29178350688,-692.477408661791,-1123.99656357367,506.314156890688,43.3394535303517,1064.72056990101,1064.90235115771,-19.6755058611085,-1020.40752218915,460.635211452697,57.9821331178145,1048.83225447282,1103.53851515561,-343.144512427785,0,0
108,1,-958.883355578356,485.221020273171,113.504251014578,1071.43967636624,1228.93204596588,-601.90613347107,-893.911023344908,507.942945663232,126.262375222343,1109.18103344254,1377.53527080701,-816.897091051675,-1116.89842644099,506.184937061054,43.2082834912777,908.561009220477,908.645594688168,-12.3979542861854,-1013.41530715933,460.979054706949,55.6945030349627,890.078876985217,974.21890829802,-396.058170008044,0,0
