ID,class,RTOE_X,RTOE_Y,RTOE_Z,V_RTOE_X,V_RTOE_Y,V_RTOE_Z,RHLX_X,RHLX_Y,RHLX_Z,V_RHLX_X,V_RHLX_Y,V_RHLX_Z,RHEE_X,RHEE_Y,RHEE_Z,V_RHEE_X,V_RHEE_Y,V_RHEE_Z,RPMT5_X,RPMT5_Y,RPMT5_Z,V_RPMT5_X,V_RPMT5_Y,V_RPMT5_Z,FS,FO
222,1,379.926005499401,-618.687863264713,102.342098494137,1576.47447975941,1577.74977436034,63.4236955828896,413.961199622243,-609.765009204409,127.925982015993,1545.50400862712,1549.16799837819,106.484020005841,215.129401333817,-574.370334938784,29.385541186838,1590.32012965594,1590.85935724138,-41.4171429914232,309.963438529054,-635.945064210725,58.7402911461516,1625.35947358294,1625.3652368081,4.32835516739267,0,0
223,1,390.435835364464,-617.589723879002,102.764923131356,1440.58027059546,1441.17911603868,-41.5418882231329,424.264559679757,-608.504093953331,128.635875482698,1423.04751724005,1423.15636687804,-17.6013710384936,225.731535531523,-574.283419551956,29.1094269002285,1424.60266327604,1425.21462921119,-41.7611195301269,320.79916835294,-635.26239601472,58.7691468472676,1469.22102388216,1470.2345710623,-54.5827530397801,0,0
224,1,400.0397038351,-616.452486454703,102.487977209868,1309.35739750384,1317.64660831785,-147.566222468064,433.751543128024,-607.213748656178,128.518533009108,1305.64478747538,1313.47316023236,-143.1901937605,235.22888662003,-574.174684566041,28.8310194366944,1263.43042236116,1264.17426473125,-43.3605749626759,330.593975178821,-634.541030195392,58.4052618270024,1317.32224305994,1322.25011038195,-114.050262360957,0,0
225,1,408.768753151792,-615.280557814683,101.504202393415,1183.91183954763,1210.38952471118,-251.78474479108,442.455841711193,-605.896202213992,127.563931717372,1194.01080885549,1223.56086337994,-267.281452277032,243.651756102437,-574.048513136489,28.5419489369432,1108.69209948326,1109.61039686433,-45.1338162891014,339.376123465887,-633.786689807591,57.644926744596,1171.28593617038,1183.83207710705,-171.894277150438,0,0
226,1,416.661498748776,-614.076625064633,99.8256374281408,1065.19129644317,1121.6452178189,-351.362343795871,450.41591377023,-604.550545641652,125.782055368858,1088.69460474992,1155.39100850445,-386.875225520249,251.043036765659,-573.910224219363,28.2410568283492,962.083031438411,963.189356585205,-46.1516766466747,347.18469637369,-633.005041057135,56.4989648969264,1032.56419963884,1057.01747562142,-226.046715068563,0,0
227,1,423.762774058398,-612.842128055798,97.483221802835,953.959387660578,1052.05464436991,-443.599438045799,457.673877801896,-603.173369802612,123.202887198723,990.070384937604,1108.74694333944,-499.07957004276,257.456923641915,-573.765875800567,27.933378984038,825.05946988054,826.322935644477,-45.6778407167979,354.068457704615,-632.201776206083,54.9919867964693,902.397792604367,943.263933235325,-274.636253334009,0,0
228,1,430.122503309468,-611.577843737387,94.525892215863,850.777130280565,1000.26740352655,-526.035315496323,464.274347034814,-601.759598812579,119.875690065105,898.336257621096,1080.95747936252,-601.216300871067,262.957320107786,-573.622007138068,27.628860045926,698.800990249347,700.134761166077,-43.1955995399056,360.084442988645,-631.382701497602,53.1610784409092,781.78356933893,843.256735462255,-316.063874263008,0,0
229,1,435.794350844672,-610.284528396865,91.0189901125541,755.992976438742,963.010712003435,-596.54358684731,470.263255418954,-600.303452289652,115.867581392631,813.520761114191,1067.32709749721,-690.920476095483,267.615993376115,-573.485335490187,27.3408893823267,584.182951983732,585.444967051339,-38.4198914276981,365.296333450904,-630.553814998626,51.0539859458225,671.45168263352,756.765315766283,-349.065009755285,0,0
230,1,440.83430402093,-608.963559973399,87.0420328669054,669.742149394472,935.684473545213,-653.414789668902,475.686727159715,-598.79946076751,111.261444885328,735.496929731895,1062.10255861679,-766.228498148755,271.510546389339,-573.362426877069,27.0847567728087,481.760475985712,482.775829734765,-31.2944971857913,369.772678001794,-629.721360909323,48.7268858807873,571.853737369355,682.614821466384,-372.755010083411,0,0
231,1,445.29925168356,-607.617523574293,82.6859342691127,591.955386606742,913.248318483265,-695.421678896893,480.590040024595,-597.243455625911,106.153254897669,664.003049585997,1059.52736057233,-825.650154691355,274.722282895911,-573.259362956285,26.8761267915701,391.76482772005,392.38067292146,-21.9752643619451,373.585036250923,-628.891849761279,46.2418524802312,483.162443760634,618.82833759217,-386.655614657722,0,0
232,1,449.245620927605,-606.25068890374,78.0497897431334,522.376536531672,891.046699058729,-721.863542495832,485.016727021835,-595.633458023515,100.64892053306,598.668745185711,1054.6143211013,-868.220651568318,277.334048414045,-573.18142683216,26.7296250291571,314.112422434391,314.298073365821,-10.8011570614188,376.806119209327,-628.07203768282,43.6641483825131,405.282637907411,562.940014077088,-390.701219424669,1,0
233,1,452.728131171149,-604.869338004828,73.2373661264946,460.58782753685,865.346631298455,-732.586954172998,489.007851989739,-593.970400216445,94.8607828559383,539.044624215103,1043.53459545391,-893.529711321315,279.428131230274,-573.13282948273,26.6576173154143,248.425951721421,248.432075424505,1.74430818178006,379.508003462044,-627.268862142327,41.0594735863486,337.872857070539,512.402499900764,-385.224939950081,0,0
234,1,455.798716688062,-603.4819146482,68.3534530986746,406.041095626662,833.562635879624,-727.981659519583,492.60148281784,-592.258626504739,88.9039181137962,484.633445065296,1023.70868838937,-901.726068497542,281.08430424175,-573.116495580148,26.6692460366262,194.066425503146,194.651297475741,15.0781332207021,381.760489175847,-626.489335859112,38.4913073200147,280.376033958379,464.969436073554,-370.925674582293,0,0
235,1,458.505657325573,-602.09898173577,63.5002420352107,358.092876512811,794.256275863525,-708.951707480402,495.832372451609,-590.506138660567,82.8924109904793,434.920693463252,993.726868775832,-893.497106948011,282.378080411771,-573.133923066946,26.7697669247642,150.174290515648,152.867049812045,28.5660180347207,383.62966273557,-625.740404492317,36.0184694894661,232.057359863106,418.956987405784,-348.818490091187,0,0
236,1,460.892943168992,-600.732988924238,58.7738973186747,316.041073834052,747.011383129354,-676.863388118053,498.731843741364,-588.724570564226,76.9357636108259,389.402572725504,953.19337365117,-870.024852476789,283.379242348542,-573.18512533037,26.9602070449956,115.717280910488,122.957607714445,41.570232060246,385.176711801324,-625.028776943093,33.6930128888582,192.04700259186,373.352253312792,-320.171600628821,0,0
