ID,class,LTOE_X,LTOE_Y,LTOE_Z,V_LTOE_X,V_LTOE_Y,V_LTOE_Z,LHLX_X,LHLX_Y,LHLX_Z,V_LHLX_X,V_LHLX_Y,V_LHLX_Z,LHEE_X,LHEE_Y,LHEE_Z,V_LHEE_X,V_LHEE_Y,V_LHEE_Z,LPMT5_X,LPMT5_Y,LPMT5_Z,V_LPMT5_X,V_LPMT5_Y,V_LPMT5_Z,FS,FO
261,1,-308.983784008467,580.706824561591,106.931357943329,1315.71832125242,1317.49112498005,68.3239600865178,-263.66237523562,566.972618884627,121.738331826441,1300.78318829783,1305.17844164426,107.022715227632,-450.334009126243,574.125896816383,43.5370477741503,1378.71224042335,1380.70043760762,-74.0692683689733,-362.645969465123,612.76705515542,60.6115412752562,1367.86960808215,1367.97536039381,17.0094658866542,0,0
262,1,-300.212328533451,579.749766855321,107.386851010573,1153.43642896402,1154.12049145063,-39.7305062261538,-254.990487313635,565.974355529802,122.451816594625,1141.96918303801,1142.37945851235,-30.6139220367662,-441.142594190088,573.270156772664,43.0432526516904,1193.12983093655,1196.14736175661,-84.9100557449304,-353.526838744576,611.796959206509,60.7249377145005,1190.82916271147,1191.77577225198,-47.4910155998902,0,0
263,1,-292.522752340358,578.627128227562,107.121980969065,999.904801234916,1010.76230228802,-147.752564085812,-247.377359426714,564.754757821306,122.247723781047,991.641012359065,1005.6495317982,-167.269493373502,-433.188395317177,572.433863636127,42.4771856133909,1015.77965761998,1020.41960053438,-97.2000427992409,-345.587977659832,610.762132791074,60.4083309438346,1022.81443866615,1028.96427909335,-112.330368583682,0,0
264,1,-285.856720332125,577.335582561252,106.13696387516,857.272274873603,893.656061918526,-252.399294247758,-240.766419344321,563.307727771995,121.132593825223,851.788766005771,902.774256840787,-299.094060323507,-426.416530933044,571.626807580874,41.8291853280626,849.500207616958,856.518335375946,-109.421460847155,-338.769214735391,609.66759726925,59.6594618199434,866.181395977182,883.691266605491,-175.042977402229,0,0
265,1,-280.141571832967,575.878611574501,104.454301913508,727.316845901251,807.362081699325,-350.490708342066,-235.087827570949,561.635821874554,119.138633423067,724.086399857596,838.305558395319,-422.439456937622,-420.753196215598,570.858559053074,41.0997089224149,696.714071109841,707.002846844913,-120.177071708222,-332.994672095544,608.521301512973,58.4925086372618,722.880061741591,759.604157896307,-233.330008849763,0,0
266,1,-275.292792860292,574.266695617198,102.117697191228,611.371150797817,752.746151624619,-439.149273889673,-230.260584905232,559.750463627858,116.322370376816,609.824542031598,810.592237986956,-534.016670358382,-416.108435741532,570.13821917728,40.2985284443601,559.338042175955,573.856615589065,-128.266791610712,-328.175471683933,607.333993199327,56.9369752449301,594.380924892104,659.247275953897,-285.163614398893,0,0
267,1,-271.216985188307,572.517171670591,99.1900353652964,510.270112288526,725.638645881524,-515.922336114484,-226.195087958354,557.671749065218,112.762259241093,509.86062601057,811.271740396175,-631.03405519001,-412.379515460359,569.474158964446,39.4434165002887,438.718300906271,458.362623127848,-132.749940604718,-324.212932184652,606.118940571091,55.0358844822708,481.625430065009,583.199119392929,-328.874076168043,0,0
268,1,-267.815184439717,570.653747755812,95.7505531245332,424.324873772417,717.742389884184,-578.880419201307,-222.796017118284,555.427835419144,108.555365539827,424.590004837505,828.393833898721,-711.308422439598,-409.454726787651,568.873759446968,38.5584168962573,335.594537382963,360.984470252101,-132.989075648735,-321.002095984219,604.891512668062,52.8433906411505,385.003993625645,529.294925490277,-363.214871724799,0,0
269,1,-264.986351947901,568.705683050064,91.8913503298578,353.325326419221,719.42635344507,-626.686118995803,-219.965417086034,553.053926890047,103.813309390229,353.940350873071,850.489894484016,-773.342930816128,-407.217429871764,568.343166391207,37.671823058599,250.095013564584,281.254692596397,-128.672787712182,-318.435402693381,603.66863522385,50.4219581629852,304.363091144228,492.663598674642,-387.402284722456,0,0
270,1,-262.630849771773,566.706664100071,87.7134428698858,296.571397972559,722.321676240466,-658.630404605981,-217.60581474688,550.590896335944,98.657689851455,297.390019822721,868.848430305373,-816.368036460243,-405.550129781334,567.887073746309,36.8140044738511,181.762493623881,217.700694205258,-119.816477035005,-316.406315419086,602.468147809914,47.8392762648355,239.040888447167,466.952115091302,-401.128073610698,0,0
