ID,class,RTOE_X,RTOE_Y,RTOE_Z,V_RTOE_X,V_RTOE_Y,V_RTOE_Z,RHLX_X,RHLX_Y,RHLX_Z,V_RHLX_X,V_RHLX_Y,V_RHLX_Z,RHEE_X,RHEE_Y,RHEE_Z,V_RHEE_X,V_RHEE_Y,V_RHEE_Z,RPMT5_X,RPMT5_Y,RPMT5_Z,V_RPMT5_X,V_RPMT5_Y,V_RPMT5_Z,FS,FO
148,3,-326.129766627166,-548.945048697735,96.408584706958,1278.59777793194,1278.59862123248,1.46849756788825,-292.106190232386,-529.143185688469,118.924964996775,1275.45751355751,1276.12477047316,41.262100344904,-490.744820620679,-535.21632328369,36.6946721570563,1326.35955932507,1331.00051179897,-111.052608236435,-390.346281571082,-584.251511148581,64.7561586485255,1287.17318482845,1289.48995492919,-77.2627731955914,0,0
149,3,-317.605781440953,-549.123142507345,96.418374690744,1161.20289824251,1164.71491637807,-90.3806702054197,-283.603140142003,-529.481488142609,119.200045665741,1165.68431183252,1167.86180362849,-71.2830801939283,-481.902423558511,-534.658855175722,35.9543214354801,1185.36894124168,1190.96077470509,-115.273761219623,-381.765127005559,-583.982207537086,64.2410734938882,1164.30013916128,1171.920016938,-133.423056661833,0,0
150,3,-309.864428786003,-549.155531285376,95.8158368893745,1049.62608881025,1065.08408425675,-180.801493981435,-275.831911396453,-529.616719715201,118.724825131115,1061.1421362601,1076.61609525847,-181.877934953454,-473.999963950234,-534.233008279717,35.1858296940159,1049.40422141897,1056.15840748498,-119.253351186707,-374.003126077817,-583.675377571139,63.351586449476,1047.31523174029,1064.09424887637,-188.221613680643,0,0
151,3,-302.866921527268,-549.02804395135,94.6104935961649,944.580455469906,981.724262286222,-267.488860152513,-268.757630488052,-529.528459100248,117.512305564758,962.391038843037,1004.56177151806,-288.006668586217,-467.00393580744,-533.946009831557,34.3908073527712,919.915984653042,927.998046019613,-122.208651887026,-367.021024532882,-583.328398336283,62.096775691605,937.144921448973,967.408628900445,-240.080926925562,0,0
152,3,-296.569718490802,-548.729891750318,92.8272345284815,846.532516851408,915.368918029701,-348.257022912797,-262.341690229099,-529.200951062911,115.592261107517,869.78494721964,952.112975638104,-387.289638343933,-460.87116257642,-533.801242357889,33.5760830068577,798.111245192709,807.606573502421,-123.478005576965,-360.773391723222,-582.938750823256,60.496236178768,834.452298291083,882.602000744252,-287.533743401509,0,0
153,3,-290.926168378459,-548.254268307774,90.5055210423962,755.717180904244,865.130647588614,-421.120623911055,-256.543123914301,-528.623989049279,113.010330185224,783.487248523981,917.562897659605,-477.566123758597,-455.550420941802,-533.798033794556,32.7528963030113,684.940800360368,695.818103759344,-122.551758538781,-355.210376401282,-582.504227822446,58.5793445560912,739.642891289338,809.625900749027,-329.275708986894,0,0
154,3,-285.888053839097,-547.598821021521,87.6980502163225,672.162404436773,828.501659833241,-484.368354053206,-251.319875590808,-527.793604550866,109.826556026833,703.493974681776,897.284030973813,-556.969352682042,-450.9841489394,-533.93163147304,31.9358845794194,581.096022524093,593.174414815895,-119.093656417368,-350.279423792686,-582.023168939859,56.3841731628453,652.881316083463,747.59904983374,-364.211925149954,0,0
155,3,-281.406971142852,-546.76595655447,84.4689278559678,595.721215125147,801.779803487798,-536.625648968395,-246.629915759596,-526.71251131679,106.113427008953,629.662559438792,886.475538875044,-623.990338278399,-447.110175455906,-534.193360223021,31.1419268699703,487.014315576727,499.940985265004,-112.951516904714,-345.926881685463,-581.494700952835,53.9560936618456,574.116998434064,694.894834463186,-391.495214622962,0,0
156,3,-277.435496375351,-545.762952127909,80.8914235295118,526.108447780513,780.773629218814,-576.903251210719,-242.432165363337,-525.390266366631,101.95349142043,561.743905566337,880.113471584382,-677.527495695482,-443.863413352061,-534.570954910173,30.3889167572722,402.892148077535,416.137850006578,-104.156743543404,-342.099435029236,-580.918961037571,51.3461255643592,503.116773931583,649.369887838133,-410.554214470617,0,0
157,3,-273.928106723481,-544.601856016465,77.0454018547737,462.939427927276,761.504611913553,-604.629109484465,-238.687205992895,-523.843127126221,97.4366414491271,499.415435939305,873.721624359695,-716.919590483688,-441.177465698211,-535.049048653288,29.6945384669828,328.704353834445,341.583637077373,-92.913017867715,-338.745323203025,-580.297281852487,48.6090974678884,439.501897722641,608.68336505621,-421.109867842524,0,0
