ID,class,LTOE_X,LTOE_Y,LTOE_Z,V_LTOE_X,V_LTOE_Y,V_LTOE_Z,LHLX_X,LHLX_Y,LHLX_Z,V_LHLX_X,V_LHLX_Y,V_LHLX_Z,LHEE_X,LHEE_Y,LHEE_Z,V_LHEE_X,V_LHEE_Y,V_LHEE_Z,LPMT5_X,LPMT5_Y,LPMT5_Z,V_LPMT5_X,V_LPMT5_Y,V_LPMT5_Z,FS,FO
19,3,-290.864372551058,-523.560813300188,65.2139206951495,2566.58424442077,2606.10801603066,452.155180784558,-247.806797428382,-530.947553222298,76.1686610095227,2492.85238972943,2588.24556891415,696.205492670091,-443.038232393896,-546.781349562462,36.6484891948597,2589.84097886935,2603.06460541926,-262.047789831544,-368.396579629355,-499.815377027467,37.1489280775981,2718.06475330684,2718.67875311581,57.7768074088759,0,0
20,3,-273.753810921587,-525.242860196941,68.2282885670466,2398.13688765993,2433.42010196287,412.883592168222,-231.187781496852,-533.437045814471,80.8100309606567,2329.11405778014,2413.76700735613,633.639386127399,-425.7726258681,-546.08352332503,34.9015039293161,2428.67869895912,2437.87349345607,-211.534742578936,-350.276147940643,-500.286370388647,37.5341067936573,2540.59905831483,2541.36279169355,62.2997904830367,0,0
21,3,-257.76623167052,-526.993946830596,70.9808458481681,2220.69584994791,2249.05667824909,356.041969437557,-215.660354444985,-535.967888551944,85.0342935348393,2159.07215753414,2227.96208008299,549.747622867588,-409.581434541706,-545.585342306349,33.4912723121232,2253.31007858344,2259.39724293966,-165.739528048168,-333.33882088521,-500.916206665186,37.9494387302109,2349.61671329102,2350.27548766268,55.6432253878661,0,0
22,3,-242.961592670868,-528.781436607897,73.3544589777518,2036.78903883698,2056.41695068106,283.445032275998,-201.266540061424,-538.503527614075,88.6992776872899,1984.89289864584,2034.52194498749,446.631532183977,-394.55936735115,-545.273181610403,32.3863421251354,2066.7066065319,2070.46252819097,-124.655056697848,-317.67470946327,-501.681433167073,38.32039356613,2148.17505421512,2148.52706069523,38.8904485383332,0,0
23,3,-229.382999078621,-530.573912893387,75.2440925262584,1849.22963497529,1859.76273625996,197.654224114437,-188.033920737118,-541.010090072709,91.6768212351831,1808.95779835471,1838.32805609428,327.2945547898,-380.781323307604,-545.129025530777,31.5553084138164,1872.28900260762,1874.36441432414,-88.1807711422141,-303.353542435169,-502.556474269474,38.5796632230522,1939.77368388199,1939.82074898189,13.5127162162618,0,0
24,3,-217.054801512119,-532.342233908839,76.561787353688,1660.98859775432,1664.10930436469,101.865867704919,-175.97420208142,-543.457482087485,93.8587849337818,1633.75496202911,1645.41260038051,195.51815653849,-368.299396623553,-545.131117019565,30.9674366062016,1673.77110653295,1674.71245989532,-56.1436217580152,-290.421717875956,-503.514424236255,38.6697479978273,1728.19646268651,1728.29767671747,-18.7041627678749,0,0
25,3,-205.981544193757,-534.060423550546,77.2408931383875,1475.06152282955,1475.06154244931,-0.240584112169273,-165.082502334559,-545.820222922288,95.162239310705,1461.76642348524,1462.82687103851,55.6900152943221,-357.14092258,-545.254801784848,30.5931457944815,1474.99157364649,1475.26341524632,-28.3196404656191,-278.900408124713,-504.527886007628,38.5450535793748,1517.34126145609,1518.3650854509,-55.7496995431954,0,0
26,3,-196.147800708227,-535.706351256883,77.2392892443063,1294.33799878772,1298.56456302791,-104.685573247018,-155.337392844658,-548.07796973429,95.5335060793338,1295.35887211617,1298.30443591961,-87.4059537929192,-347.307645422357,-545.47351986397,30.4043481913774,1279.74311975033,1279.75087218696,-4.4544713468305,-268.784799715006,-505.569816729868,38.1733889157535,1311.04750964105,1314.52040877579,-95.4899604779794,0,0
27,3,-187.518880716309,-537.262169429271,76.5413854226596,1121.4810455453,1140.49611846327,-207.392528101663,-146.70166703055,-550.215711041033,94.9507997207144,1136.68442216893,1159.48799554841,-228.825121477867,-338.776024624021,-545.759887556676,30.3746517157319,1091.60894035389,1091.72210503646,15.7186502187677,-260.044482984065,-506.614340588591,37.5367891792336,1112.93138206845,1121.18280116045,-135.774122811449,0,0
28,3,-180.042340412673,-538.714495305307,75.1587685686485,958.823206747525,1005.98216785223,-304.398062147358,-139.123770882757,-552.223632751264,93.4252989108619,987.596997101407,1052.44081687989,-363.708460653726,-331.498631688329,-546.086806740841,30.4794427171903,913.815241706672,914.391738228375,32.4646725670368,-252.624940436942,-507.63749190331,36.6316283604906,926.237686351725,942.539346022162,-174.539872756022,0,0
