ID,class,RTOE_X,RTOE_Y,RTOE_Z,V_RTOE_X,V_RTOE_Y,V_RTOE_Z,RHLX_X,RHLX_Y,RHLX_Z,V_RHLX_X,V_RHLX_Y,V_RHLX_Z,RHEE_X,RHEE_Y,RHEE_Z,V_RHEE_X,V_RHEE_Y,V_RHEE_Z,RPMT5_X,RPMT5_Y,RPMT5_Z,V_RPMT5_X,V_RPMT5_Y,V_RPMT5_Z,FS,FO
10,2,-1057.48014700071,443.348911732029,62.5816765083563,2159.19047674405,2159.24051290988,-14.6995826179914,-1019.93572541618,464.374582753498,56.0623887974151,2152.44401086937,2153.10055788261,53.1675881248471,-1210.26395856497,467.166542752693,73.9680892317034,2073.81054501104,2089.59717437783,-256.371165634568,-1125.27773464655,415.951037970881,39.9904731733369,2199.45781056126,2205.19804779313,-159.008709043476,0,0
11,2,-1043.08554382242,442.209864592937,62.483679290903,1933.42866408533,1934.12175362756,-51.7741127258478,-1005.58609867705,463.534976408982,56.4168393849141,1931.31073969987,1931.36612435767,-14.6264498866827,-1196.43855493156,465.10562164229,72.2589481274729,1865.92266075918,1882.19856740755,-246.990022503751,-1110.61468257614,414.470790126423,38.9304151130471,1956.46249841924,1963.87979040667,-170.523674153749,0,0
12,2,-1030.19601939519,441.238564791535,62.1385185393973,1706.26982907589,1708.6602286954,-90.3495850059812,-992.710693745722,462.790789257385,56.3193297190029,1709.14742063553,1711.18717309158,-83.5262586739368,-1183.9990705265,463.518340900132,70.6123479774479,1655.91646887478,1673.56932334042,-242.435410234098,-1097.57159925335,413.287197060377,37.7935906186887,1713.83372008477,1723.62309093363,-183.440833785761,0,0
13,2,-1018.82088720135,440.453485545021,61.5361879726908,1481.96318784812,1487.56298957736,-128.952540972874,-981.316377608152,462.169691225219,55.76248799451,1490.06200710448,1497.72187072541,-151.281251425834,-1172.95962740067,462.388633915709,68.9961119092206,1447.56157749727,1467.75043581741,-242.604248099319,-1086.14604111945,412.394478851088,36.5706517267837,1476.16958348244,1489.25358268636,-196.976126333696,0,0
14,2,-1008.94113261569,439.869429464432,60.676504366205,1264.4405386687,1275.28939759406,-165.991481067671,-971.382630894122,461.697630886763,54.7539463183377,1277.8230193259,1295.87865469093,-215.568594568861,-1163.30921688402,461.689473165695,67.3787502552252,1244.37361644475,1268.6555228223,-247.024570202516,-1076.3049105629,411.779740860947,35.2574775512257,1247.61151470252,1265.19635817373,-210.207833150316,0,0
15,2,-1000.51152902457,439.496499731253,59.5698944924205,1057.23049051605,1075.95675408496,-199.866521919551,-962.863810765282,461.397170851972,53.3168223545453,1075.78079963091,1110.15650468794,-274.122483657287,-1155.01339277439,461.384491620386,65.7319197872084,1049.54704298718,1080.05642775087,-254.897806351545,-1067.98750046488,411.423678209766,33.8560919968902,1031.76264756758,1055.40741734062,-222.150074638605,0,0
16,2,-993.46332575446,439.339225422842,58.2374510129568,863.383669325191,893.258437955042,-229.08355794437,-955.691938767743,461.285937088373,51.4893391301634,886.800708593586,944.433208130331,-324.867031040799,-1148.0164124878,461.429848297458,64.0326010781981,865.894646730601,905.585604222551,-265.163623708854,-1061.10908281443,411.301493084115,32.3750914992996,831.625450692184,863.335013912618,-231.832819092818,0,0
17,2,-987.707434625626,439.395926574824,56.7102272933277,685.411134195044,730.393766192278,-252.362102570895,-949.779934043786,461.375305371167,49.3235589232247,713.210174694211,801.657920393522,-366.041893835009,-1142.2437815096,461.776240848648,62.2648435868057,695.795045603768,748.75119424215,-276.582004823698,-1055.56491314315,411.383984272557,30.8295393720141,649.559127020768,691.919459978615,-238.380954778514,0,0
18,2,-983.138027064325,439.658390478877,55.0278132761884,525.238429095663,589.991042946889,-268.726670352383,-945.025199545824,461.669432839964,46.8832796309913,556.761710603939,683.407097420295,-396.310053379684,-1137.60514787224,462.370968753576,60.4209635546477,541.150009990224,612.933249862563,-287.826050722765,-1051.23451896301,411.638759896192,29.240333006824,487.257196689256,543.637442377805,-241.085240173696,0,0
19,2,-979.636437537021,440.111907964564,53.2363021405058,384.17763829745,473.961434713306,-277.573384580887,-941.313454808465,462.16471686092,44.2412126084601,418.613911950433,589.345929142368,-414.838543192694,-1133.99748113897,463.159956233285,58.502123216496,403.353775603296,501.245586118105,-297.578341465654,-1047.98613765175,412.031518178691,27.6330980723327,345.745453805523,420.571637976762,-239.458939785653,0,0
20,2,-977.075253281704,440.735689153781,51.3858129099666,262.919447662421,383.149830827713,-278.706219708482,-938.522695395462,462.849729390958,41.4756223205088,299.332006537156,516.847655615628,-421.345284746146,-1131.30845596828,464.089653674429,56.5182676067249,283.276522552421,415.982128303919,-304.623608472596,-1045.68116795971,412.527337932842,26.0367051404283,225.400119092853,324.380468793555,-233.275534181478,1,0
21,2,-975.322456963955,441.503645555164,49.5277714452434,161.546519976758,316.649106993118,-272.340556735383,-936.527148685214,463.705636228171,38.6666537555345,198.908731242523,461.205791656328,-416.10827784704,-1129.41994581794,465.10874922963,54.487443550241,181.263869307304,357.320689410907,-307.930974026372,-1044.17850049909,413.091920663111,24.4815349125518,125.985476148401,255.766222877283,-222.584861490113,0,0
22,2,-974.24548016411,442.385493111109,47.7121677336741,79.5684972281606,271.018561965821,-259.07511493556,-935.201090476931,464.70707095697,35.8925985698876,116.805248390631,416.644877915146,-399.936855317598,-1128.21152002255,466.16963725351,52.4345703900652,97.1535682980516,321.739027901485,-306.720045386584,-1043.33859732477,413.692729925676,22.9976358359511,46.7095994952388,212.894468230692,-207.707168673167,0,0
23,2,-973.715023515922,443.348102687396,45.9850003007704,15.9777198486722,240.3680160191,-239.836393388067,-934.422388820993,465.823397191676,33.2263528677703,52.0105909783979,377.706244530604,-374.108146908738,-1127.56382956723,467.229606251856,50.3897700874879,30.3096564769362,302.031294413659,-300.506618112547,-1043.0271999948,414.299980648737,21.61292137813,-13.7039883018815,189.702219640826,-189.20658773224,0,0
24,2,-973.608505383598,444.357003740467,44.3860910115166,-30.6765815725043,217.971601807023,-215.802146739427,-934.075651547804,467.02026354072,30.7322985550453,3.11689430194519,340.289181547193,-340.274906579913,-1127.36176519072,468.251725057254,48.3863926334043,-20.32678834546,289.839159524231,-289.125509198465,-1043.11855991681,414.887440986276,20.3515441265817,-56.9316762257472,177.239755177967,-167.847296843507,0,0
25,2,-973.813015927414,445.37793572818,42.9474100332538,-62.1991663178392,198.318191964895,-188.31189280975,-934.054872252457,468.261336243079,28.4637991778459,-31.5934171400556,302.010154681146,-300.353108064399,-1127.49727711302,469.205421159919,46.4588892387479,-56.1722782448669,278.454566901419,-272.729941489815,-1043.49810442499,415.433021195976,19.232562147625,-84.9557903476466,167.655624974511,-144.536923559348,0,0
26,2,-974.2276770362,446.378341138674,41.6919974145221,-80.6493861884917,178.081902532954,-158.772921233994,-934.265495033391,469.51008607923,26.4614451240833,-54.0531308480922,262.034698224146,-256.398990089544,-1127.87175896799,470.06675888734,44.6406896288157,-78.9239761052158,263.849395659644,-251.768762132443,-1044.06447636064,415.919137069999,18.2689826572293,-99.9654688420719,156.384671572907,-120.262506801375,0,0
27,2,-974.76533961079,447.328703302499,40.6335112729622,-88.2369295605884,155.935728012364,-128.569808012868,-934.625849239045,470.731508970639,24.7521185234863,-66.3135203410548,220.684419216316,-210.48546245482,-1128.39791880869,470.818437017865,42.9622312145995,-90.4750650769188,244.314374304307,-226.944433928291,-1044.73091281958,416.332848613233,17.4672326118868,-104.256861438341,141.739918414604,-96.0245349647943,0,0
28,2,-975.353585807861,448.203649722874,39.776379219543,-87.218447839382,131.927759966875,-98.984222007179,-935.067939374652,471.893672453251,23.3488821071208,-70.4505025664048,179.031187238014,-164.587036828524,-1129.0010859092,471.449535183594,41.4492683217442,-92.826833432639,219.726997875976,-199.156050850729,-1045.42595856251,416.665786996801,16.8270690454549,-100.137130385531,123.78827788457,-72.7742595962256,0,0
29,2,-975.93504212679,448.982764966853,39.1164844061618,-79.8006345253896,106.900094363514,-71.1300843825825,-935.537609391762,472.969000796342,22.2516351949307,-68.478407549776,138.581892152839,-120.48090525933,-1129.61993146542,471.955045947419,40.1215613160727,-88.0020521865049,190.923370200587,-169.432500128264,-1046.09353943174,416.913893474107,16.3419073148134,-89.8364298908746,103.480935549743,-51.3587371993508,0,0
30,2,-976.467046356959,449.651083278739,38.6422838436113,-68.0546843300988,82.0908579947346,-45.9071770755106,-935.99413210876,473.935237236811,21.4484291598685,-62.2753543726333,101.121127812104,-79.6697102276323,-1130.20661181333,472.335234692297,38.9920113152176,-77.964028128099,159.250882044418,-138.861275199266,-1046.69244896435,417.077002280441,15.9995157334844,-75.4314602076533,82.1258822716189,-32.4769972416329,0,0
31,2,-976.920744252493,450.199257127223,38.3362359964412,-53.8460276549586,58.9420350077677,-23.9743362085033,-936.409301137911,474.776049746977,20.9172977583509,-53.5232290947931,68.8633196868354,-43.3292135349534,-1130.72637200085,472.594872457899,38.0662694805558,-64.5451884667978,126.262866425955,-108.518339850388,-1047.19532536573,417.158305128569,15.7830024185401,-58.7833826426959,61.0957625015226,-16.6495081226101,0,0
32,2,-977.279717770193,450.623421396602,38.1764070883845,-38.7819405230573,39.2046550167947,-5.74160815903824,-936.76612266521,475.481274266858,20.6284363347846,-43.6641070451913,45.3585216070809,-12.2817441076625,-1131.1566732573,472.74238766645,37.3428138815532,-49.3882609680099,93.5103223900442,-79.4039046397955,-1047.58721458335,417.163737599644,15.6720056977227,-41.491916025393,41.7041319757127,-4.20184821113194,0,0
33,2,-977.538264040346,450.924792022444,38.1381297006576,-24.1782184830129,25.6690915827977,8.62067362064884,-937.057216712177,476.04681415895,20.5465580407335,-33.8737674334425,36.2847447258037,13.0057902367289,-1131.48592833042,472.788981413192,36.8134545172879,-33.9021424069301,62.4008599827482,-52.3880908872119,-1047.86382735685,417.101327595478,15.6439933763152,-24.8663984611767,25.3137025672471,4.7376961946755,0,0
