ID,class,LTOE_X,LTOE_Y,LTOE_Z,V_LTOE_X,V_LTOE_Y,V_LTOE_Z,LHLX_X,LHLX_Y,LHLX_Z,V_LHLX_X,V_LHLX_Y,V_LHLX_Z,LHEE_X,LHEE_Y,LHEE_Z,V_LHEE_X,V_LHEE_Y,V_LHEE_Z,LPMT5_X,LPMT5_Y,LPMT5_Z,V_LPMT5_X,V_LPMT5_Y,V_LPMT5_Z,FS,FO
194,2,-1003.20933130295,349.745466928683,70.8672389000415,1454.32732928719,1459.11252522293,-118.073623433902,-975.389389356012,326.396642043225,88.4363323057242,1423.70781062008,1424.41891219872,-45.0034155231194,-1180.63150174978,383.383940104879,70.1685968768748,1444.77834741648,1493.39556256788,-377.949511355613,-1063.63581865395,413.245406322307,54.2592304152542,1469.17357680481,1487.10107880894,-230.21429107085,0,0
195,2,-993.513815774373,347.257166871737,70.0800814104822,1274.00401826516,1285.21517331875,-169.386549563317,-965.898003951878,323.946800047812,88.13630953557,1258.726035649,1264.32214723556,-118.824488930892,-1170.99964610034,380.808242302928,67.6489334678374,1267.04292603127,1320.64647809146,-372.437033187457,-1053.84132814192,410.694491006884,52.7244684747819,1278.33673492593,1304.51252208039,-260.015600307894,0,0
196,2,-985.020455652605,344.763795189037,68.9508377467267,1100.27586333694,1121.73028469216,-218.338856261796,-957.506497047552,321.432861588031,87.3441462760308,1101.95890948812,1118.73816535261,-193.032754775642,-1162.55269326013,378.21275014738,65.1660199132543,1093.79399172608,1153.92751306896,-367.645765760257,-1045.31908324242,408.141042021478,50.9910311393959,1092.99999490718,1130.07425168467,-287.08679080303,0,0
197,2,-977.685283230359,342.292210644398,67.4952453716481,935.823113348533,972.113524336013,-263.13457530253,-950.160104317631,318.869663758742,86.0572612441932,955.740586416232,991.933182672906,-265.502109905662,-1155.26073331529,375.630409320558,62.7150481415193,927.833237774928,996.223578763867,-362.749089268574,-1038.0324166097,405.615789561129,49.077119200709,915.992283941512,967.05359571786,-310.081912968905,0,0
198,2,-971.446462474702,339.869949666148,65.7410148696312,783.01216863141,839.28474345531,-302.143714764982,-943.788500408189,316.274574226181,84.2872471781554,822.009470683679,887.3276504753,-334.141870175461,-1149.07517839679,373.094228655492,60.2967208797288,771.713882395397,850.242297347996,-356.888845325573,-1031.92580138343,403.149474270538,47.009906447583,749.880423039656,818.408736142946,-327.829544942125,0,0
199,2,-966.226381350492,337.524297813545,63.7267234378647,643.801889524445,725.279643101099,-333.990550377718,-938.308437270298,313.667245868473,82.059634710319,702.225402854066,806.673934136314,-396.991586310595,-1143.93041918082,370.63609327936,57.9174619108916,627.643998532062,718.26397461755,-349.236522059314,-1026.92659856316,400.771751534786,44.8243761479688,596.876753789155,686.625061212009,-339.399639761912,0,0
200,2,-961.934368753663,335.281366504922,61.5001197686799,519.669512030077,630.83539423385,-357.626750795572,-933.626934584604,311.069276842665,79.413024134915,597.311687523359,749.241829032024,-452.307490894469,-1139.74612585727,368.285659013015,55.5892184304962,497.405714305671,601.971931198205,-339.054215910319,-1022.94742020457,398.510161198922,42.5617118828894,458.762683524759,573.504204450787,-344.156756039878,0,0
201,2,-958.469905340129,333.165208588461,59.1159414300427,411.560551220521,555.02435527729,-372.384139874448,-929.644856667782,308.503759579079,76.3976408622852,507.626062289626,711.562814952411,-498.635558807561,-1136.4300877619,366.069382919194,53.3288569910941,382.294712377359,502.257646785693,-325.750666373862,-1019.8890023144,396.389207322106,40.2673335092902,336.832023762571,479.875072004558,-341.795658982659,0,0
202,2,-955.726168331992,331.197007380692,56.6333804975464,319.865649050774,495.177402352798,-378.003474002809,-926.260682919185,305.994712263765,73.0734038035682,432.962843530805,688.142318213567,-534.867297783349,-1133.88145634605,364.009734762235,51.157185881935,283.08333188487,419.013882749619,-308.927922250274,-1017.64345548932,394.429586821692,37.9886957827392,231.856926572601,405.238842434421,-332.3565630733,0,0
203,2,-953.593730671654,329.394373396476,54.1133573375277,244.42563202831,447.322213814261,-374.637522652566,-923.374263962313,303.566399464425,69.5076218183458,372.586315523716,672.851788977641,-560.275795849574,-1131.99423413348,362.124621291109,49.0976664002665,200.009192819789,350.979776255179,-288.414850740581,-1016.0977426455,392.647598139739,35.7729853622505,144.077958944291,347.495057382791,-316.21884297416,0,0
204,2,-951.964226458132,327.770780630237,51.6157738531772,184.564206886364,407.073319019253,-362.828803423541,-920.890355192154,301.242563040196,65.7724498460153,325.293135182818,660.228444480697,-574.531091503614,-1130.66083951469,360.427040829315,47.1749007286626,132.789709320298,295.769353235526,-264.284701433874,-1015.13722291921,391.054751706221,33.6648597424228,73.2184719958241,303.051646446264,-294.073725062931,1,0
205,2,-950.733798412223,326.335169583546,49.196915163687,139.14588649854,370.579714506234,-343.464331589261,-918.721734290936,299.045598390232,61.9422425693246,289.499325036343,646.174803511858,-577.695436624776,-1129.77557478588,358.924970890148,45.4130027191035,80.6612479188288,250.21316043505,-236.855206273945,-1014.64909977257,389.657593452848,31.7043682420032,18.5220110301657,267.520092281266,-266.878127394463,0,0
206,2,-949.806159168899,325.091737210708,46.9071529530919,106.655063957021,335.135636669373,-317.711492234873,-916.791738790693,296.995722442648,58.0909396584928,263.34555564477,628.075874147122,-570.200334976944,-1129.23783313309,357.621477627126,43.8339680106105,42.440145706928,210.983692749449,-206.671121927009,-1014.52561969903,388.45774154105,29.9251807260402,-21.18982598613,236.74348605645,-235.793276971245,0,0
207,2,-949.095125409185,324.039924852684,44.7890763381927,85.2907943355888,299.348198684735,-286.940454550068,-915.036101753062,295.11018684362,54.2896040919798,244.813088145651,604.591098443358,-552.808238170829,-1128.95489882838,356.515023889203,42.4561605310971,16.6014593616183,175.258630225531,-174.470567763144,-1014.66688520561,387.452125480142,28.3532255462319,-47.4428391190258,207.60642738536,-202.112853891184,0,0
208,2,-948.526520113615,323.174604666389,42.8761399745256,73.0709286567333,262.994254849433,-252.639303096432,-913.404014498757,293.402591418949,50.6042158375076,231.842113233625,575.34226765759,-526.562398472151,-1128.84422243264,355.599943210039,41.2930234126762,1.37028341414407,141.144489633432,-141.137837865142,-1014.98317079973,386.633406623981,27.0058065202906,-62.0236444910915,178.320270854097,-167.186083516306,0,0
209,2,-948.039380589237,322.486453905167,41.1918779538827,67.9388545404606,226.745636757364,-216.328213213701,-911.858400410533,291.882348745192,47.0937998476933,222.4443534675,540.613515773134,-492.728609933516,-1128.83508720987,354.8670406192,40.3521044935752,-5.18015833412164,107.771003637241,-107.646436005153,-1015.39666176301,385.990550297279,25.8912326301819,-66.8862827741975,148.283550897011,-132.341364067613,0,0
210,2,-947.5864548923,321.962495661461,39.7496898657914,67.8662560096086,191.881182146938,-179.478576318581,-910.375438054083,290.554340987427,43.8089424481365,214.80266029252,501.105649288049,-452.73246943383,-1128.86962159877,354.304277789658,39.6344615868742,-5.02963334847664,75.1652600370323,-74.9967939635727,-1015.84257031483,385.509513050526,25.0089568697312,-64.0574296617785,117.762019329357,-98.8156814562043,0,0
