ID,class,LTOE_X,LTOE_Y,LTOE_Z,V_LTOE_X,V_LTOE_Y,V_LTOE_Z,LHLX_X,LHLX_Y,LHLX_Z,V_LHLX_X,V_LHLX_Y,V_LHLX_Z,LHEE_X,LHEE_Y,LHEE_Z,V_LHEE_X,V_LHEE_Y,V_LHEE_Z,LPMT5_X,LPMT5_Y,LPMT5_Z,V_LPMT5_X,V_LPMT5_Y,V_LPMT5_Z,FS,FO
196,2,-302.599089314965,610.42491176839,102.426222086759,1595.58935054614,1601.2185702782,134.147434666116,-241.367288914751,601.194039473387,123.952599056227,1575.64065751101,1590.75558570779,218.76894628534,-462.182062388717,580.221344739429,35.7722005948243,1685.95279805133,1686.46268917562,-41.4676346606822,-367.316330971587,640.125036896761,53.2369955215843,1642.02152820602,1642.33607478977,32.1416157627098,0,0
197,2,-291.961826977991,609.554310407106,103.320538317867,1423.7133824826,1423.82294152853,17.6627677022296,-230.863017864678,600.460869511173,125.411058698129,1413.98750855602,1415.26697524625,60.1659111974044,-450.942377068375,578.707678368986,35.4957496970864,1484.34834008446,1484.99841660995,-43.9352093719304,-356.369520783547,638.879768277364,53.4512729600023,1446.17078235629,1446.58046583115,-34.4254612640672,0,0
198,2,-282.470404428107,608.637888164532,103.438290102548,1260.71231201228,1264.75779650503,-101.077941020336,-221.436434474304,599.656338947242,125.812164772778,1261.37605538254,1265.43083347144,-101.220754827337,-441.046721467812,577.190640060782,35.2028483012735,1289.36092757465,1290.30677820763,-49.3961570608658,-346.728382234505,637.607868355362,53.2217698849085,1258.31964858153,1262.54210167883,-103.170831659239,0,0
199,2,-274.065655681358,607.676858096511,102.764437162413,1108.54871799636,1129.83732265785,-218.293645118853,-213.027260771754,598.769926422363,125.137359740596,1119.3538349964,1149.33211680266,-260.789775092772,-432.450981950647,575.69739294591,34.8735405875344,1104.11513164876,1105.54466284803,-56.2030036207425,-338.339584577295,636.323770248717,52.5339643405136,1080.97459435496,1094.45517377481,-171.248514625935,0,0
200,2,-266.675330894716,606.674503670786,101.309146194954,968.770417568024,1023.52027981352,-330.269043712278,-205.564901871778,597.794146347965,123.398761239978,989.081605371071,1072.22535044884,-413.986449128148,-425.090214406322,574.254361567985,34.4988538967295,931.33416065622,933.451504570722,-62.8362362026763,-331.133087281595,635.042889214096,51.3923075763407,916.25656344535,946.141327635665,-235.918040436707,0,0
201,2,-260.216861444262,605.636209920318,99.1073525702051,842.461076627167,947.458483784555,-433.516911854108,-198.971024502638,596.725176977207,120.638851579123,871.30128112542,1033.85390350024,-556.496155684739,-418.881320001947,572.886153803544,34.0799456553783,773.242713117688,776.226010119921,-67.9891564669653,-325.02471019196,633.781134665985,49.819520640096,765.837453557708,820.571064207014,-294.669079039653,0,0
202,2,-254.600454266748,604.569357880467,96.217239824511,730.214308237653,899.312920485713,-524.929321906815,-193.162349295135,595.563273347673,116.928877207892,766.325117351906,1027.47020531362,-684.427379144644,-413.726368581163,571.614559528626,33.6266846122652,631.494577788436,635.432635582469,-70.6344999776118,-319.919127168242,632.554366741847,47.855060113165,630.897628103617,719.226073988944,-345.33220000281,0,0
203,2,-249.732358878497,603.483088128098,92.7177110117989,632.13313280032,872.861374443698,-601.909196982232,-188.053515179455,594.312936582278,112.366028013594,674.047051391699,1041.88686576983,-794.473922525998,-409.51640472924,570.457689864754,33.1557879457478,507.129269701784,511.946980552509,-70.0686428337693,-315.713142980884,631.377827207116,45.5528454464796,512.10650872066,641.389173575982,-386.169646277925,0,0
204,2,-245.518137993161,602.387950003315,88.7049830319174,547.854949437016,859.661575377207,-662.474889001376,-183.559868170177,592.98282987745,107.069535196754,593.975554389814,1065.05700271303,-884.047204517591,-406.135542931228,569.429310821146,32.6886636601893,400.560138763237,405.949912683079,-65.931076446364,-312.299099589413,630.265577315379,42.9783811379601,409.626899962907,583.78198508548,-415.941352761566,0,0
205,2,-241.865771663581,601.295462279751,84.2884837719082,476.600337186535,851.258736910075,-705.332230767471,-179.600031140912,591.585450618583,101.175887166637,525.285752109821,1086.75328953418,-951.371426386028,-403.46514200614,568.538411027608,32.2491231505469,311.594278697035,316.982812083917,-58.1988714658818,-309.568253589661,629.2299757333,40.2054387862163,323.142230789173,541.042980386342,-433.943089939145,0,0
206,2,-238.688436082338,600.217617775379,79.5862689001251,417.242236218719,840.75003070701,-729.910631823541,-176.098126126847,590.136585713327,94.83341099073,466.887103621791,1099.58040712353,-995.536791987919,-401.387846814826,567.789026361789,31.8611306741077,239.482376311827,244.081284918663,-47.1578740359028,-307.413972051066,628.281227756179,37.3124848532887,251.904475474069,507.020166287409,-440.015436386323,1,0
