ID,class,LTOE_X,LTOE_Y,LTOE_Z,V_LTOE_X,V_LTOE_Y,V_LTOE_Z,LHLX_X,LHLX_Y,LHLX_Z,V_LHLX_X,V_LHLX_Y,V_LHLX_Z,LHEE_X,LHEE_Y,LHEE_Z,V_LHEE_X,V_LHEE_Y,V_LHEE_Z,LPMT5_X,LPMT5_Y,LPMT5_Z,V_LPMT5_X,V_LPMT5_Y,V_LPMT5_Z,FS,FO
214,2,-228.506267582111,-432.678731136341,74.7474376531501,2752.28085061188,2779.1839746997,385.763767846049,-169.141418990307,-454.076494604693,86.4971777005146,2698.88344642499,2743.91365545941,495.065946344336,-399.336159282303,-451.821029284423,33.0549049019806,2802.08059659439,2803.69684414334,-95.1857344802342,-293.77690998285,-397.812201765304,37.7623664538204,2901.01157771002,2911.02945810134,241.297185906173,0,0
215,2,-210.157728578031,-433.805578209861,77.3191961054571,2543.5274375732,2562.62245920573,312.253170901352,-151.148862680807,-456.134767098315,89.7976173428101,2490.70914165246,2520.44930703421,386.047511348128,-380.655621971674,-450.388664129791,32.4203333387791,2588.0141750003,2588.63757561913,-56.8078155260366,-274.436832798117,-397.762871185102,39.3710143598616,2681.31979159319,2689.29608173102,206.972438803995,0,0
216,2,-193.20087899421,-435.275616397084,79.4008839114661,2329.82522965935,2340.74043342639,225.787900295637,-134.544135069791,-458.566495821723,92.3712674184643,2278.41866339171,2293.48914565622,262.489724658394,-363.402194138338,-449.178844017716,32.0416145686055,2365.96011935124,2366.10336176521,-26.0352106977669,-256.561367520829,-398.013260389718,40.7508306185549,2454.16510105885,2459.44718827721,161.102851214673,0,0
217,2,-177.668710796481,-437.048523085256,80.9061365801037,2114.02617066362,2117.98368017087,129.414911117129,-119.354677313846,-461.322688288498,94.121198916187,2064.74837331768,2068.69637121154,127.74518051888,-347.629126675997,-448.182014782503,31.8680464972871,2139.34270564684,2139.34373513815,-2.0987783352977,-240.200266847103,-398.538067809261,41.8248496266527,2222.66394529063,2225.19785281973,106.16247217641,0,0
218,2,-163.575202992057,-439.076076737322,81.7689026542179,1899.03064105952,1899.21733155932,26.6288717814909,-105.589688158395,-464.3460259724,94.9728334529795,1852.49658938475,1852.55132608992,-14.2408607673268,-333.366841971685,-447.383478660314,31.8540546417184,1911.69323695903,1911.75944270981,15.9102028651695,-225.382507211833,-399.304815748381,42.5325994411621,1990.06218547699,1990.56928323178,44.928490742943,0,0
219,2,-150.914998718327,-441.304217202004,81.9464284660945,1687.70120165338,1689.53898936231,-78.7822982219197,-93.2397108958297,-467.573171249066,94.8778943811973,1644.43671756761,1652.11339026702,-159.080282294988,-320.622220391958,-446.76434840536,31.9601226608195,1686.53982615868,1686.78871414416,28.9755232009401,-212.115425975319,-400.275308695524,42.8321227127817,1759.64053518639,1759.75027834298,-19.6527111902878,0,0
220,2,-139.663657373971,-443.675249012383,81.421213144615,1482.77631794164,1494.01559786716,-182.912540908999,-82.276799445379,-470.937188175425,93.8173591658974,1443.2288813528,1474.51349550798,-302.126537173262,-309.3786215509,-446.302646517381,32.1532928154925,1467.29497130891,1467.78937710103,38.0936044791209,-200.384489074077,-401.40727629252,42.7011046381798,1534.61559233619,1536.94616570153,-84.6079193885956,0,0
221,2,-129.778481921027,-446.130078466145,80.2017962052217,1286.7876307248,1317.3091218258,-281.923599329919,-72.6552735696936,-474.369966839107,91.803182251409,1251.33398984326,1326.00183841567,-438.684535110019,-299.596655075507,-445.974478701679,32.4072501786866,1257.1458726117,1257.92325270317,44.2172439969511,-190.153718458502,-402.656117358687,42.1370518422558,1318.04063787573,1326.22150984826,-147.079468629499,0,0
222,2,-121.199897716195,-448.610380556687,78.3223055430223,1101.98439624117,1163.15318589129,-372.230740656999,-64.3130469707386,-477.804549974166,88.8786186840088,1070.9343399914,1210.47945068419,-564.234118036016,-291.215682591429,-445.755209352244,32.7020318053329,1058.95261007924,1060.04939910035,48.2089010388481,-181.366780872664,-403.976659382383,41.1565220513925,1112.71067935407,1131.33930143771,-204.459186707191,0,0
223,2,-113.853335074587,-451.060602704894,75.8407672719756,930.268581345288,1033.68717344494,-450.676756785197,-57.1734847041292,-481.177273967134,85.1170578971021,903.864765921359,1127.88677308782,-674.653287127819,-284.155998524234,-445.620571022234,33.0234244789253,875.159168333721,876.632653518452,50.8058982425432,-173.94870967697,-405.324850889573,39.7934608066779,921.076271005735,955.591330290393,-254.505979333162,0,0
224,2,-107.651544532285,-453.429727477927,72.8362555600743,773.143740376528,928.789518770218,-514.683132513594,-51.1477195979868,-484.429652748234,80.6193693162499,751.557993864732,1073.42854941408,-766.426403873996,-278.321604068676,-445.547648859788,33.3621304672089,707.721825619092,709.673738049712,52.5987834444038,-167.808201203599,-406.659311630098,38.0967542777902,745.170397518052,801.600810076151,-295.440243327699,1,0
